X, Y
1.197019256407731746e+03,3.079533331782118239e+03
1.196229116898246048e+03,3.080588741598641718e+03
1.195454303474705966e+03,3.081457237113179872e+03
1.194694816137112412e+03,3.082138818325734974e+03
1.193915456305514908e+03,3.082190415009347817e+03
1.192578675162255649e+03,3.082938678539629109e+03
1.192801684932482658e+03,3.082399573801132647e+03
1.193086150614157305e+03,3.081897994297887180e+03
1.192845781424083043e+03,3.081567056561748359e+03
1.193096674117584143e+03,3.081285421502561803e+03
1.193313101467392244e+03,3.081487586959279724e+03
1.193277593492199912e+03,3.081582840188767932e+03
1.193500502958921970e+03,3.081226026243926754e+03
1.193455903877824085e+03,3.081275934981864339e+03
1.193445841920590738e+03,3.080892832533917044e+03
1.194048719902047651e+03,3.081094806225219145e+03
1.194691760006004870e+03,3.081066595122647414e+03
1.194737066407342809e+03,3.080991671753416995e+03
1.194267893143927722e+03,3.081420641101026831e+03
1.193854573845165305e+03,3.081807412619200932e+03
1.194230473046819043e+03,3.081746081565916938e+03
1.195143652505999853e+03,3.081509390169392191e+03
1.195240653571130224e+03,3.081557101065398456e+03
1.195521648736214956e+03,3.080932355024860499e+03
1.194854186680295243e+03,3.081606916438219741e+03
1.195130300671492932e+03,3.081698064500389592e+03
1.195838761392305287e+03,3.081456200474182879e+03
1.196343681526798719e+03,3.080906930684945110e+03
1.196088721562954106e+03,3.080649301705839662e+03
1.196299136646301122e+03,3.080229746932768649e+03
1.195277040436615152e+03,3.081356643915512905e+03
1.194415594067814709e+03,3.081929665519183800e+03
1.193195918559817073e+03,3.082337872798610078e+03
1.192714309340882664e+03,3.082278664730074979e+03
1.193578887096177823e+03,3.080793327268835128e+03
1.194545070367847984e+03,3.079821102570493167e+03
1.195088590633552030e+03,3.079587279617695913e+03
1.195824723978250631e+03,3.079551296949662174e+03
1.195900244131046065e+03,3.078716195539311684e+03
1.196325487736257401e+03,3.077907676480236660e+03
1.196502728758301600e+03,3.077202492918129337e+03
1.196719502172205011e+03,3.076990664802694937e+03
1.196595592488478133e+03,3.077412306335397261e+03
1.196607149363119788e+03,3.078428804912920896e+03
1.196954488522022075e+03,3.077407276575943797e+03
1.197201582464973853e+03,3.077586726760490365e+03
1.197810585316747620e+03,3.076837842678306970e+03
1.197570712580328745e+03,3.076962243028498051e+03
1.196392238383484937e+03,3.077392673998633200e+03
1.195491148557732231e+03,3.077222937190562334e+03
1.194655693853580033e+03,3.077080110648067603e+03
1.194409377064883302e+03,3.077053689226877395e+03
1.195468207804623034e+03,3.075607263338706616e+03
1.195008882739032060e+03,3.075370771662120205e+03
1.193849322557615778e+03,3.075403061085839909e+03
1.193233130555034677e+03,3.074875483574257487e+03
