X,Y
7.457119169399729799e+02,4.506067776543175114e+02
7.490225483082568871e+02,4.560259250853495701e+02
7.517385470460661736e+02,4.635466867357150704e+02
7.538599131534015214e+02,4.731690626054145241e+02
7.552249073298639814e+02,4.987473541196216047e+02
7.558922167756647923e+02,5.065465621046022306e+02
7.563385367167209097e+02,4.976564037008338914e+02
7.562638599247561615e+02,4.902063969127210612e+02
7.565548556589189957e+02,4.792043990319494924e+02
7.564286785913911899e+02,4.725512265936253016e+02
7.575575297086920727e+02,4.692452279596899984e+02
7.584845773505354600e+02,4.679699922552335920e+02
7.601609135239584703e+02,4.645077445582764426e+02
7.613996115523752906e+02,4.643259611213646849e+02
7.625441517029466922e+02,4.628735042506895070e+02
7.626204880884536124e+02,4.651362720754295879e+02
7.631568799750148173e+02,4.653984641574660372e+02
7.632171963884690058e+02,4.680903737555632915e+02
7.637430794211736611e+02,4.689523683994780185e+02
7.634566353161081906e+02,4.697775573131771125e+02
7.639466370822133285e+02,4.729155973361165479e+02
7.639892069829131742e+02,4.749795531870859122e+02
7.640646932216433243e+02,4.791876868795917517e+02
7.622875092088249858e+02,4.802817926257241083e+02
7.606402651442688239e+02,4.756039348107840397e+02
7.591475724305415724e+02,4.663900779610533505e+02
7.599091340462952076e+02,4.665601912182871729e+02
7.616805506705065909e+02,4.676160157228104595e+02
7.637588825819043450e+02,4.743826872551755400e+02
7.643020317180518077e+02,4.767952436341047928e+02
7.650415049301818726e+02,4.784178646103650863e+02
7.651136864298268847e+02,4.729497440381371689e+02
7.643762936364339566e+02,4.604947860522414089e+02
7.638429546295029695e+02,4.535745833044667847e+02
7.639238822132936093e+02,4.608936374646361855e+02
7.645507088974632097e+02,4.738370378390573023e+02
7.660074642036674959e+02,4.883986485809954274e+02
7.673190384335968020e+02,4.921207815725290402e+02
7.665930926963310412e+02,4.781905442558575032e+02
7.663366835243318747e+02,4.663044541727931573e+02
7.662218041844820391e+02,4.710326930638495924e+02
7.664446681393086465e+02,4.741848411249245601e+02
7.661983933118217465e+02,4.762171430984798235e+02
7.661461292677951178e+02,4.737380272319242067e+02
7.648278817890731034e+02,4.732168421156684985e+02
7.644279955827611275e+02,4.749390146257513265e+02
7.636437072923374672e+02,4.879943706802437191e+02
7.637071565004553122e+02,4.981231717036959594e+02
7.634331925357050750e+02,5.127530879877296002e+02
7.635415965549688053e+02,5.148115495428161239e+02
7.637654562622367393e+02,5.189610938450061894e+02
7.648376273704112691e+02,5.183440455559377824e+02
